# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000    4.040219620    4.040219614    2.469349591
    0.020040080    4.039509606    4.039509600    2.469200628
    0.040080160    4.038300986    4.038300980    2.468948155
    0.060120240    4.036861363    4.036861357    2.468648554
    0.080160321    4.035194855    4.035194849    2.468302583
    0.100200401    4.033302518    4.033302512    2.467910334
    0.120240481    4.031185531    4.031185525    2.467471911
    0.140280561    4.028845212    4.028845206    2.466987426
    0.160320641    4.026283010    4.026283004    2.466457007
    0.180360721    4.023500506    4.023500500    2.465880793
    0.200400802    4.020499407    4.020499401    2.465258934
    0.220440882    4.017281546    4.017281540    2.464591591
    0.240480962    4.013848875    4.013848869    2.463878939
    0.260521042    4.010203465    4.010203459    2.463121161
    0.280561122    4.006347501    4.006347495    2.462318455
    0.300601202    4.002283277    4.002283271    2.461471027
    0.320641283    3.998013192    3.998013186    2.460579095
    0.340681363    3.993539748    3.993539743    2.459642889
    0.360721443    3.988865545    3.988865540    2.458662647
    0.380761523    3.983993275    3.983993269    2.457638621
    0.400801603    3.978925717    3.978925712    2.456571068
    0.420841683    3.973665738    3.973665733    2.455460260
    0.440881764    3.968216281    3.968216276    2.454306476
    0.460921844    3.962580366    3.962580360    2.453110004
    0.480961924    3.956761082    3.956761076    2.451871145
    0.501002004    3.950761583    3.950761578    2.450590205
    0.521042084    3.944585087    3.944585082    2.449267500
    0.541082164    3.938234866    3.938234860    2.447903356
    0.561122244    3.931714243    3.931714237    2.446498106
    0.581162325    3.925026589    3.925026583    2.445052092
    0.601202405    3.918175318    3.918175312    2.443565663
    0.621242485    3.911163882    3.911163876    2.442039176
    0.641282565    3.903995765    3.903995759    2.440472995
    0.661322645    3.896674482    3.896674477    2.438867493
    0.681362725    3.889203573    3.889203568    2.437223048
    0.701402806    3.881586598    3.881586593    2.435540044
    0.721442886    3.873827133    3.873827128    2.433818873
    0.741482966    3.865928768    3.865928763    2.432059933
    0.761523046    3.857895102    3.857895097    2.430263627
    0.781563126    3.849729739    3.849729733    2.428430364
    0.801603206    3.841436282    3.841436277    2.426560558
    0.821643287    3.833018335    3.833018330    2.424654628
    0.841683367    3.824479495    3.824479490    2.422712999
    0.861723447    3.815823351    3.815823346    2.420736098
